Date,Crude,Heating
1994-09-09,17.66,20.916
1994-09-16,16.95,19.992
1994-09-23,17.43,20.286
1994-09-30,17.85,20.454
1994-10-07,18.16,21.042
1994-10-14,17.4,20.034
1994-10-21,17.32,20.286
1994-10-28,17.87,20.706
1994-11-04,18.69,21.294
1994-11-11,18.27,21.252
1994-11-18,17.51,20.286
1994-11-25,17.84,20.79
1994-12-02,17.81,20.622
1994-12-09,16.98,20.202
1994-12-16,16.86,20.496
1994-12-23,17.07,20.118
1994-12-30,17.73,21.126
1995-01-06,17.58,20.916
1995-01-13,17.55,19.992
1995-01-20,18.45,20.286
1995-01-27,18.21,19.95
1995-02-03,18.46,20.16
1995-02-10,18.41,20.328
1995-02-17,18.5,19.866
1995-02-24,18.65,20.034
1995-03-03,18.49,19.698
1995-03-10,18.3,19.194
1995-03-17,18.13,19.026
1995-03-24,18.73,19.446
1995-03-31,19.13,19.866
1995-04-07,19.44,20.328
1995-04-14,19.54,20.748
1995-04-21,20.22,21.126
1995-04-28,20.27,21.294
1995-05-05,20.22,21.42
1995-05-12,19.72,20.916
1995-05-19,20,21.21
1995-05-26,19.39,21.378
1995-06-02,18.93,20.622
1995-06-09,19.03,20.538
1995-06-16,18.92,20.454
1995-06-23,17.74,19.614
1995-06-30,17.67,19.782
1995-07-07,17.23,19.614
1995-07-14,17.34,19.698
1995-07-21,17.14,19.488
1995-07-28,17.25,19.908
1995-08-04,17.69,20.58
1995-08-11,17.79,20.79
1995-08-18,17.61,20.622
1995-08-25,18.1,21.084
1995-09-01,17.86,21.042
1995-09-08,18.41,21.882
1995-09-15,18.68,21.672
1995-09-22,18.28,20.916
1995-09-29,17.53,20.538
1995-10-06,17.28,20.454
1995-10-13,17.31,20.454
1995-10-20,17.51,20.412
1995-10-27,17.39,20.874
1995-11-03,17.78,21.462
1995-11-10,17.77,21.588
1995-11-17,18.06,21.84
1995-11-24,18,22.05
1995-12-01,18.32,22.092
1995-12-08,18.75,23.1
1995-12-15,19,24.066
1995-12-22,19.17,25.074
1995-12-29,19.42,25.368
1996-01-05,19.97,25.116
1996-01-12,19.17,24.108
1996-01-19,18.61,22.47
1996-01-26,18.07,21.924
1996-02-02,17.65,22.05
1996-02-09,17.7,22.05
1996-02-16,18.81,23.73
1996-02-23,19.92,24.822
1996-03-01,19.47,25.368
1996-03-08,19.67,22.386
1996-03-15,20.82,23.31
1996-03-22,22.73,25.998
1996-03-29,21.85,26.922
1996-04-05,22.5,24.738
1996-04-12,23.99,25.998
1996-04-19,24.39,24.486
1996-04-26,22.74,24.234
1996-05-03,21.3,24.108
1996-05-10,20.97,22.974
1996-05-17,21.14,22.89
1996-05-24,21.82,22.932
1996-05-31,20.39,22.176
1996-06-07,20.07,21.546
1996-06-14,20.16,21.462
1996-06-21,20.99,21.84
1996-06-28,20.51,22.05
1996-07-05,21.29,22.974
1996-07-12,21.62,23.436
1996-07-19,21.87,23.856
1996-07-26,20.79,23.436
1996-08-02,20.68,23.856
1996-08-09,21.38,24.444
1996-08-16,22.25,25.326
1996-08-23,22.42,25.998
1996-08-30,21.86,26.082
1996-09-06,23.48,27.384
1996-09-13,24.42,28.392
1996-09-20,23.51,27.972
1996-09-27,24.13,29.526
1996-10-04,24.42,30.534
1996-10-11,24.95,30.996
1996-10-18,25.48,30.66
1996-10-25,25.18,30.282
1996-11-01,23.97,28.77
1996-11-08,22.89,28.014
1996-11-15,23.88,29.736
1996-11-22,23.94,30.618
